region,entity_name,entity_type,academic_year,applicants,matriculants,matriculation_rate_percent
Central,Wisconsin,state_or_territory,2022-2023,831,381,45.85
Central,Wisconsin,state_or_territory,2023-2024,787,359,45.62
Central,Wisconsin,state_or_territory,2024-2025,782,391,50.0
Central,Wisconsin,state_or_territory,2025-2026,797,388,48.68
Northeast,Connecticut,state_or_territory,2016-2017,592,281,47.47
Northeast,Connecticut,state_or_territory,2017-2018,589,293,49.75
Northeast,Connecticut,state_or_territory,2018-2019,533,245,45.97
Northeast,Connecticut,state_or_territory,2019-2020,615,282,45.85
Northeast,Connecticut,state_or_territory,2020-2021,574,297,51.74
Northeast,Connecticut,state_or_territory,2021-2022,710,291,40.99
Northeast,Connecticut,state_or_territory,2022-2023,540,251,46.48
Northeast,Connecticut,state_or_territory,2023-2024,542,250,46.13
Northeast,Connecticut,state_or_territory,2024-2025,527,255,48.39
Northeast,Connecticut,state_or_territory,2025-2026,585,264,45.13
Northeast,Delaware,state_or_territory,2016-2017,109,49,44.95
Northeast,Delaware,state_or_territory,2017-2018,108,49,45.37
Northeast,Delaware,state_or_territory,2018-2019,100,44,44.0
Northeast,Delaware,state_or_territory,2019-2020,101,38,37.62
Northeast,Delaware,state_or_territory,2020-2021,115,56,48.7
Northeast,Delaware,state_or_territory,2021-2022,123,48,39.02
Northeast,Delaware,state_or_territory,2022-2023,117,52,44.44
Northeast,Delaware,state_or_territory,2023-2024,105,44,41.9
Northeast,Delaware,state_or_territory,2024-2025,110,46,41.82
Northeast,Delaware,state_or_territory,2025-2026,124,57,45.97
Northeast,District of Columbia,state_or_territory,2016-2017,86,41,47.67
Northeast,District of Columbia,state_or_territory,2017-2018,116,51,43.97
Northeast,District of Columbia,state_or_territory,2018-2019,105,54,51.43
Northeast,District of Columbia,state_or_territory,2019-2020,103,47,45.63
Northeast,District of Columbia,state_or_territory,2020-2021,118,65,55.08
Northeast,District of Columbia,state_or_territory,2021-2022,122,50,40.98
Northeast,District of Columbia,state_or_territory,2022-2023,96,43,44.79
Northeast,District of Columbia,state_or_territory,2023-2024,96,51,53.12
Northeast,District of Columbia,state_or_territory,2024-2025,102,47,46.08
Northeast,District of Columbia,state_or_territory,2025-2026,118,51,43.22
Northeast,Maine,state_or_territory,2016-2017,129,53,41.09
Northeast,Maine,state_or_territory,2017-2018,115,40,34.78
Northeast,Maine,state_or_territory,2018-2019,119,46,38.66
Northeast,Maine,state_or_territory,2019-2020,99,41,41.41
Northeast,Maine,state_or_territory,2020-2021,103,46,44.66
Northeast,Maine,state_or_territory,2021-2022,101,35,34.65
Northeast,Maine,state_or_territory,2022-2023,107,43,40.19
Northeast,Maine,state_or_territory,2023-2024,75,34,45.33
Northeast,Maine,state_or_territory,2024-2025,81,31,38.27
Northeast,Maine,state_or_territory,2025-2026,85,40,47.06
Northeast,Maryland,state_or_territory,2016-2017,1176,510,43.37
Northeast,Maryland,state_or_territory,2017-2018,1157,546,47.19
Northeast,Maryland,state_or_territory,2018-2019,1160,531,45.78
Northeast,Maryland,state_or_territory,2019-2020,1173,528,45.01
