school_name,source,source_url
University of Pittsburgh School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Puerto Rico School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Rochester School of Medicine and Dentistry,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
"University of South Carolina Kay and C. Edward Floyd, M.D. School of Medicine",AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of South Carolina School of Medicine Greenville,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
"University of South Dakota, Sanford School of Medicine",AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Tennessee Health Science Center College of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Texas Medical Branch at Galveston (UTMB) John Sealy School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Texas Rio Grande Valley School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Texas Southwestern Medical School,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Texas at Tyler School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Virginia School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Washington School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Wisconsin School of Medicine and Public Health,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Vanderbilt University School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Virginia Commonwealth University School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Virginia Tech Carilion School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Wake Forest University School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Washington State University Elson S. Floyd College of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Washington University in St. Louis School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Wayne State University School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Weill Cornell Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
West Virginia University School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Western Michigan University Homer Stryker M.D. School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Wright State University Boonshoft School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Yale School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
